Team,Player,Event,Mins,Secs,X,Y,X2,Y2,On/Off-target or Saved,Cross successful or blocked,Thru Pass successful or blocked,Half
HGU(A),9.Pedro,Successful Pass,0,11,50,51,62,50,,,,First
HGU(A),7.Shahfiq,Thru Pass,0,14,63,49,21,85,,,intercepted,First
LCS(H),3.Tajeli,Interception,0,15,20,87,-,-,,,,First
HGU(A),4.Nazrul,Interception,0,20,53,96,-,-,,,,First
HGU(A),6.Kaishu,Successful Pass,0,21,72,78,55,80,,,,First
LCS(H),6.Anu,Interception,0,23,60,75,-,-,,,,First
LCS(H),6.Anu,Successful Pass,0,24,60,75,66,55,,,,First
LCS(H),9.Shinwook,Stray Pass,0,26,68,53,79,98,,,,First
HGU(A),4.Nazrul,Throw,0,44,76,98,59,94,,,,First
LCS(H),28.Saifulah,Foul,0,45,59,95,-,-,,,,First
HGU(A),4.Nazrul,Set Piece,1,8,77,91,41,82,,,,First
HGU(A),9.Pedro,Successful Pass,1,10,48,95,46,85,,,,First
HGU(A),14.Kiki,Stray Pass,1,14,39,81,23,54,,,,First
LCS(H),2.Henriqu,Interception,1,14,24,53,-,-,,,,First
LCS(H),2.Henriqu,Dribble attempt,1,17,30,52,79,27,,,,First
LCS(H),2.Henriqu,Successful Pass,1,23,79,28,80,18,,,,First
LCS(H),28.Saifulah,Successful Pass,1,25,78,31,80,48,,,,First
HGU(A),4.Nazrul,Interception,1,27,79,66,-,-,,,,First
HGU(A),19.Amy,Successful Pass,1,30,66,72,76,69,,,,First
HGU(A),14.Kiki,Shot,1,31,64,66,14,42,off-target,,,First
LCS(H),18.Hassan,Successful Pass,1,37,17,44,28,50,,,,First
LCS(H),6.Anu,Successful Pass,1,39,28,50,27,64,,,,First
LCS(H),14.Hariss,Successful Pass,1,41,29,67,37,94,,,,First
LCS(H),3.Tajeli,Successful Pass,1,42,39,94,28,70,,,,First
LCS(H),14.Hariss,Successful Pass,1,45,30,70,17,54,,,,First
LCS(H),18.Hassan,Successful Pass,1,50,16,53,27,84,,,,First
LCS(H),14.Hariss,Thru Pass,1,53,24,77,83,45,,,unsuccessful,First
HGU(A),21.Nazhim,Successful Pass,1,58,81,43,89,44,,,,First
HGU(A),13.Barudin,Successful Pass,2,4,88,47,82,61,,,,First
HGU(A),6.Kaishu,Successful Pass,2,12,77,68,65,36,,,,First
HGU(A),7.Shahfiq,Successful Pass,2,15,74,48,80,69,,,,First
HGU(A),6.Kaishu,Successful Pass,2,16,80,71,63,57,,,,First
HGU(A),7.Shahfiq,Successful Pass,2,17,64,57,67,44,,,,First
HGU(A),20.Suhaimi,Stray Pass,2,21,69,44,25,93,,,,First
LCS(H),3.Tajeli,Interception,2,21,25,93,-,-,,,,First
HGU(A),19.Amy,Foul,2,46,26,93,-,-,,,,First
LCS(H),3.Tajeli,Set Piece,2,50,30,91,12,72,,,,First
LCS(H),14.Hariss,Successful Pass,2,53,19,76,19,48,,,,First
LCS(H),18.Hassan,Successful Pass,2,57,17,45,25,26,,,,First
LCS(H),2.Henriqu,Stray Pass,3,0,24,25,44,17,,,,First
HGU(A),10.Shawal,Interception,3,0,39,16,-,-,,,,First
HGU(A),23.Sahil,Successful Pass,3,2,29,18,12,7,,,,First
HGU(A),9.Pedro,Cross,3,5,9,9,4,17,,blocked,,First
HGU(A),20.Suhaimi,Throw,3,27,12,1,27,9,,,,First
HGU(A),10.Shawal,Successful Pass,3,30,18,3,26,4,,,,First
HGU(A),20.Suhaimi,Stray Pass,3,32,26,4,47,5,,,,First
LCS(H),9.Shinwook,Interception,3,34,43,6,-,-,,,,First
LCS(H),9.Shinwook,Successful Pass,3,34,43,7,37,14,,,,First
HGU(A),14.Kiki,Interception,3,35,38,16,-,-,,,,First
HGU(A),6.Kaishu,Successful Pass,3,38,61,23,63,14,,,,First
HGU(A),20.Suhaimi,Successful Pass,3,41,71,14,69,24,,,,First
HGU(A),6.Kaishu,Successful Pass,3,43,74,23,64,7,,,,First
HGU(A),10.Shawal,Successful Pass,3,45,68,7,69,23,,,,First
LCS(H),6.Anu,Interception,3,50,68,27,-,-,,,,First
LCS(H),6.Anu,Foul,3,51,70,27,-,-,,,,First
HGU(A),13.Barudin,Successful Pass,4,12,89,50,84,37,,,,First
HGU(A),21.Nazhim,Successful Pass,4,15,82,31,58,29,,,,First
LCS(H),6.Anu,Interception,4,16,58,30,-,-,,,,First
HGU(A),6.Kaishu,Possession Lost,4,18,76,50,-,-,,,,First
LCS(H),16.Hami,Interception,4,20,72,45,-,-,,,,First
LCS(H),6.Anu,Successful Pass,4,21,70,37,72,69,,,,First
HGU(A),23.Sahil,Interception,4,25,68,60,-,-,,,,First
LCS(H),7.Song,Interception,4,27,70,50,-,-,,,,First
LCS(H),7.Song,Successful Pass,4,27,69,50,78,48,,,,First
LCS(H),9.Shinwook,Possession Lost,4,30,77,55,-,-,,,,First
LCS(H),16.Hami,Stray Pass,4,31,77,57,88,49,,,,First
HGU(A),6.Kaishu,Successful Pass,4,33,87,50,87,69,,,,First
HGU(A),4.Nazrul,Successful Pass,4,39,82,80,67,93,,,,First
HGU(A),14.Kiki,Successful Pass,4,40,70,93,70,76,,,,First
HGU(A),7.Shahfiq,Thru Pass,4,42,72,64,54,64,,,intercepted,First
LCS(H),14.Hariss,Interception,4,43,56,70,-,-,,,,First
LCS(H),8.Shahdan,Successful Pass,4,44,66,74,55,64,,,,First
LCS(H),6.Anu,Successful Pass,4,47,53,58,65,42,,,,First
LCS(H),28.Saifulah,Successful Pass,4,51,61,57,37,62,,,,First
LCS(H),14.Hariss,Successful Pass,4,56,46,64,81,6,,,,First
LCS(H),12.Iqram,Cross,4,59,85,6,88,11,,blocked,,First
HGU(A),20.Suhaimi,Interception,4,59,88,11,-,-,,,,First
LCS(H),8.Shahdan,Corner,5,39,98,3,96,41,,,,First
HGU(A),9.Pedro,Interception,5,40,96,36,-,-,,,,First
LCS(H),28.Saifulah,Stray Pass,5,42,67,22,85,38,,,,First
HGU(A),21.Nazhim,Successful Pass,5,48,74,24,78,34,,,,First
HGU(A),20.Suhaimi,Successful Pass,5,51,70,16,56,16,,,,First
HGU(A),23.Sahil,Successful Pass,5,55,58,18,29,77,,,,First
HGU(A),19.Amy,Stray Pass,6,3,7,80,1,72,,,,First
